row;position;condition;heigth;species;notes
3;26;3;50;Y;
3;27;4;200;U;
3;28;4;200;Cu;
3;29;3;50;P;
3;30;3;40;G;
3;31;4;200;G;
3;32;4;200;Y;
3;33;3;50;L;
3;34;2;20;G;
3;35;2;25;Y;
3;36;3;50;P;
3;37;4;200;Cu;
3;38;4;150;G;
3;39;4;200;Y;
4;1;4;200;Y;
4;2;2;40;G;
4;3;4;200;Cu;
4;4;2;50;Y;
4;5;4;200;Cu;
4;6;4;200;Cu;
4;7;2;40;Y;
4;8;2;20;P;
4;9;3;50;L;
4;10;2;40;Y;
4;11;3;50;G;
4;12;0;;Y;Nicht gefunden, Stock steht
4;13;2;30;Y;
4;14;3;30;Y;
4;15;3;50;Y;Aus altem Stumpf 
4;16;2;40;Y;
4;17;4;150;Ti;
4;18;4;200;Cu;
4;19;0;;L;Nicht gefunden, nur Stock liegt noch da
